,num_authors,type,method,num_training,train_path,test_path,top_1,top_5,top_10,top_100,auroc_1,auroc_2,auroc_3,tpr,fpr
e65ab90e-23a6-466d-8339-2f25aa0796dc,100,intra_context,NAR_gaming,100,data/processed_gaming.csv,data/processed_gaming.csv,0.399741268,0.676584735,0.798188875,1,,,,,
d2f3accf-218e-4a5c-a59a-d8899fabc43c,100,cross_context,NAR_gaming,100,data/processed_gaming.csv,data/processed_gaming.csv,0.322262774,0.579927007,0.705839416,1,,,,,
d2eb2fc3-919a-4bd4-b3b7-b6a4be3219dd,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
68a7a472-7cf3-48d3-8793-5e5460cf3774,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.846153846,1,1,1,,,,,
743636b9-9610-44d6-b26c-ee2a2aac5801,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
5579e2e4-255e-4430-afcb-6d7a2728fe7e,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.769230769,1,1,1,,,,,
b8fb795f-4764-4f22-971b-23323429ff08,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
08908da9-3b12-48c0-95f4-6ba3188e6989,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.769230769,1,1,1,,,,,
09d0b576-a45c-4eff-8d35-d7bf1f2075bf,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
180a0ec8-3986-4dd0-99e7-dff763d8a3ec,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.769230769,1,1,1,,,,,
be9be9b9-2666-4a8a-a8f7-44e397865d33,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
3a06920c-dd2c-4a45-88fb-b1dc469ff661,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.846153846,1,1,1,,,,,
57732918-1629-429c-ab7a-91524a4ea97e,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.84,1,1,1,,,,,
ceca1c25-e18a-4db1-b939-61db4865e555,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.873563218,1,1,1,,,,,
6ac47a11-a781-4e73-a888-96b5cbecdcb8,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.96,1,1,1,,,,,
31fb79c9-0831-4621-8ca8-8999c3ba035d,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.827586207,1,1,1,,,,,
b10a50d9-079c-4ac9-9482-03acbb819eba,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.84,1,1,1,,,,,
5f36303a-2925-47d6-b020-54b6c274f7aa,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.827586207,1,1,1,,,,,
2012f927-a749-41af-b9d5-4b8ce1191541,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.8,1,1,1,,,,,
48368279-32e6-4708-8861-b35f5c8b45ef,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.862068966,1,1,1,,,,,
b0811e8f-8639-4df1-8d36-872f9c190e72,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.76,1,1,1,,,,,
547074a8-dcbe-4b8a-82b7-b19cec8b84df,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.873563218,1,1,1,,,,,
133ebf8b-d19c-43de-b2d8-d44072ea2cbb,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
99d774e7-6ee3-4543-bb3b-287f8fa8bf24,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.846153846,1,1,1,,,,,
d2074bf9-4a1b-4977-a80b-c4a8f4df584a,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
9718c172-20e9-4551-b3c9-85b9ffda89c9,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.769230769,1,1,1,,,,,
5281a679-cbdf-43bb-ace6-5066c87a9ac5,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
4997ef33-2b48-4153-ad1c-21e32631c8dd,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.769230769,1,1,1,,,,,
eb21b693-f5dd-4621-9eaf-b63de0742ad0,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
a0c78a40-b058-4868-bfdd-608c745884f8,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.769230769,1,1,1,,,,,
0e7ed975-e624-48a4-a612-bb7ab0bc7f0f,2,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,1,1,1,1,,,,,
4ad44e21-c49b-4e33-98fe-cdd4c2539448,2,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.846153846,1,1,1,,,,,
21cacaa5-58ae-4d74-967d-1ed3c7bde56f,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.84,1,1,1,,,,,
2be6fd24-3843-4b3c-9925-f2768bb55336,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.873563218,1,1,1,,,,,
ad5e8172-0c54-442c-a6f6-d921c6b2a0cb,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.96,1,1,1,,,,,
d08a719b-67bc-4a8a-a7e2-3b5a87290a59,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.827586207,1,1,1,,,,,
2ac364bf-5d6d-4c04-872c-4c718d1e6bf3,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.84,1,1,1,,,,,
6eb1cbbd-c6b0-4311-ba2a-c1ec2f4e9ada,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.827586207,1,1,1,,,,,
886ebb38-bfaf-46d7-aaa0-40f77401d110,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.8,1,1,1,,,,,
ab4a60bd-6cf0-4ebf-a760-a809bb15069d,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.862068966,1,1,1,,,,,
3df406e3-7ef5-4909-a0bb-e4baac8739a6,5,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.76,1,1,1,,,,,
3a71e05c-91bb-449d-9bf5-c0dc3f231847,5,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.873563218,1,1,1,,,,,
616f8a92-d2f3-419c-b906-81ef3e9d48a6,10,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.74,0.92,1,1,,,,,
e8b33f30-40ee-48d9-a9bc-695d3733bfb4,10,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.691943128,0.938388626,1,1,,,,,
d61bed9c-f819-4972-9dd2-86bca73d265e,10,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.74,1,1,1,,,,,
a1aa850d-aab4-45f3-a02b-e3cd307357ab,10,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.644549763,0.933649289,1,1,,,,,
64566691-d034-49d0-ae51-62573b8aa433,10,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.74,0.98,1,1,,,,,
1d595be0-4017-4c7e-9a4f-8e8ffd22722e,10,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.6492891,0.957345972,1,1,,,,,
c3995f13-6775-44b7-b9c2-bdc7dacb92fd,10,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.74,0.96,1,1,,,,,
fdc62820-22cd-4813-bf5b-1820f4ddb604,10,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.6492891,0.952606635,1,1,,,,,
002d2f9d-0653-4d62-b20c-eab93e4d951c,10,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.64,0.94,1,1,,,,,
1ecef35c-93d7-4997-9501-7d652633a87c,10,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.663507109,0.957345972,1,1,,,,,
6e9736ea-b99d-45b3-abb2-43ef8118a59e,15,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.68,0.906666667,0.933333333,1,,,,,
259a06b1-e260-4600-bdbb-1836cc9e2c38,15,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.618911175,0.896848138,0.982808023,1,,,,,
62416ad2-57b1-42fc-b01d-be243296445d,15,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.746666667,0.96,1,1,,,,,
36cd8f92-27b6-49ee-a45a-212e89769fcb,15,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.584527221,0.891117479,0.988538682,1,,,,,
991d4633-aa97-462c-a6fb-6fdd1163804d,15,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.706666667,0.92,0.986666667,1,,,,,
a3f1bae2-274d-44f7-81cb-6efec96ca12a,15,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.604584527,0.899713467,0.977077364,1,,,,,
5349915d-b210-4b49-9fa0-d7d87ee6b1b1,15,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.706666667,0.933333333,0.986666667,1,,,,,
42bb5bf7-e217-49d4-9eef-4e0097148a21,15,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.607449857,0.896848138,0.979942693,1,,,,,
950f4424-79f9-4614-aca1-5332cf18128e,15,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.68,0.933333333,0.986666667,1,,,,,
2138e63c-35aa-4f0c-90a5-2e25b85d4183,15,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.616045845,0.896848138,0.968481375,1,,,,,
32589698-521a-45b4-bd49-2d79f76863ba,25,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.64,0.88,0.92,1,,,,,
9f066d1c-606c-4a31-8960-9302be63a3fb,25,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.489396411,0.817292007,0.920065253,1,,,,,
e26dd0ad-6df8-4fd6-9dca-e9731bc2a7b0,25,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.664,0.912,0.984,1,,,,,
c403e04a-c307-467a-bad7-b2743e493ed0,25,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.482871126,0.799347471,0.911908646,1,,,,,
565228ef-2dc8-47bd-8c80-8f1f6330a698,25,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.64,0.864,0.944,1,,,,,
e4688e40-ea9c-4d83-8a27-dc25cb8d31e1,25,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.508972268,0.820554649,0.934747145,1,,,,,
bb8912da-8475-437a-8598-e89e972fa4b5,25,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.624,0.968,0.984,1,,,,,
aa97c356-ab1d-4dd9-a615-4f7229ba74b7,25,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.500815661,0.799347471,0.923327896,1,,,,,
64d2737c-7f2f-4951-a2f8-356e6b2082a5,25,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.592,0.88,0.976,1,,,,,
dab23383-9835-473a-874d-79f6ada3f638,25,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.495921697,0.804241436,0.931484502,1,,,,,
d975de85-002f-4088-932a-049ba33de683,50,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.448,0.756,0.884,1,,,,,
f667934c-0c69-4ff6-a078-880e45ac4755,50,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.389699571,0.696137339,0.822317597,1,,,,,
436bafae-c40a-4521-bf04-42326f67626f,50,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.5,0.816,0.908,1,,,,,
c06ce506-a5fc-42ad-a328-298ab02cb49c,50,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.380257511,0.672961373,0.813733906,1,,,,,
07c30ba2-bf56-4ce5-a8cb-12aabd3df993,50,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.496,0.76,0.864,1,,,,,
986f97fa-5f7d-44b9-9698-85e68118633e,50,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.397424893,0.701287554,0.821459227,1,,,,,
d187d9f9-53e7-450b-abb6-46a66ceb80cc,50,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.48,0.8,0.892,1,,,,,
cc8f182f-89c2-4a59-a5ca-432aa5287e20,50,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.398283262,0.67639485,0.806008584,1,,,,,
1ed5e9b3-58c8-48d1-9331-b280d27b9a8c,50,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.476,0.768,0.864,1,,,,,
0c2370b8-579e-41db-ab78-fdd349b86a69,50,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.389699571,0.680686695,0.812875536,1,,,,,
70a98899-9935-41e3-9063-937ccc9bfd68,100,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.384,0.638,0.786,1,,,,,
57cbc8e2-a007-47b5-a7f3-602abd586277,100,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.298204159,0.554820416,0.68241966,1,,,,,
2eed0259-6294-4a88-b33c-5dc3c0b4dfd4,100,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.382,0.664,0.776,1,,,,,
6f6426d9-3795-4c6f-bf18-b69327e73432,100,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.284971645,0.553402647,0.680529301,1,,,,,
644c03ff-3138-4a5b-9ce6-86c3b64a78b3,100,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.39,0.662,0.772,1,,,,,
707b8fda-27fb-45fd-a838-cef641ad83fc,100,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.297731569,0.551512287,0.686200378,1,,,,,
757397cd-4705-4727-8a28-daa735c5d383,100,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.392,0.67,0.784,1,,,,,
ae9b5f3d-3101-44bd-8b40-ef3953221375,100,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.297258979,0.551512287,0.689035917,1,,,,,
e5a9f1f2-0ea0-4a23-b157-0634a9faf38a,100,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.354,0.658,0.766,1,,,,,
09bae6be-9f7b-40d0-8153-f4a2bb7ea428,100,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.289697543,0.546786389,0.677693762,1,,,,,
4c747d64-9502-4401-ad95-9eb9d92b3284,200,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.286,0.52,0.646,0.966,,,,,
590c14f4-7c49-43d7-a0f4-8df2f232c3f6,200,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.177534386,0.394803872,0.519103413,0.950331126,,,,,
d626043f-74af-4ea7-92b6-8ef10def08e2,200,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.272,0.542,0.666,0.979,,,,,
a4f931bf-e82c-4e69-926b-4772ad15eeb3,200,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.175751401,0.387671931,0.515537443,0.95313296,,,,,
64e028c9-7fb0-4941-b43d-6284191590ae,200,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.294,0.544,0.649,0.965,,,,,
5e6ce60e-4913-4ea2-9d48-33e40095cc46,200,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.18262863,0.39582272,0.526999491,0.952878248,,,,,
8de1d56e-1232-47b3-a181-2cfb1ca44573,200,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.293,0.539,0.659,0.979,,,,,
d41b0e46-91f2-4786-97a9-c5ba14cd53e5,200,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.187213449,0.397605706,0.515282731,0.954915945,,,,,
e20d68b2-47cb-4937-835c-0c6cbed53c9e,200,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.28,0.517,0.638,0.979,,,,,
54d7fc22-bea9-497b-9c7b-e21069ea88c7,200,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.178807947,0.389709628,0.521141111,0.954661233,,,,,
d1bc0b02-8838-4a3d-afd4-12683c5e3b3c,500,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.1704,0.394,0.4976,0.8748,,,,,
433dcc1d-436a-4d23-a1d3-8bb04f006dea,500,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.112665406,0.274669187,0.375708885,0.800661626,,,,,
23f3b911-643f-4cd2-b367-07810879fb24,500,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.16,0.3868,0.5036,0.8772,,,,,
265c8901-cabe-496d-8040-61f142007b78,500,cross_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.106805293,0.270699433,0.370037807,0.792816635,,,,,
e3092d58-a81d-4790-b216-1e54c44b0d3a,500,intra_context,NAR_gaming,50,data/processed_gaming.csv,data/processed_gaming.csv,0.1784,0.3956,0.5108,0.8756,,,,,
